Company_Brand,Sector,Stage,BIO,Year,HeadQuarter,Amount($)
Leverage Edu,Technology,Dept,AI-enabled marketplace designed to help students with their higher education and career growth plans,2021,Delhi,2000000.0
Kale Logistics,Logistics,Series,Kale Logistics Solutions is a global IT solutions provider focused on providing cutting-edge technology solutions to the Logistics industry.,2021,Thane,5000000.0
CustomerGlu,CRM,Undisclosed,CustomerGlu is a Low code Interactive Engagement platform to improve user stickiness.,2021,Bangalore,320000.0
Cell Propulsion,EV startup,Undisclosed,Cell Propulsion is a fleet electrification company developing solutions for large scale electrification of commercial vehicle fleets.,2021,Bangalore,2000000.0
Wellbeing Nutrition,Health Care,Undisclosed,Organic whole food nutrition to keep up with the pace at which we live,2021,Mumbai,
Pee Safe,Health Care,Series,Redcliffe Hygiene Private Limited is India's fastest growing hygiene company.,2021,Gurugram,3000000.0
Chqbook,Technology,Undisclosed,"Chqbook is a fintech startup that allows customers to explore, compare, book and get personal finance products.",2021,Delhi,1000000.0
SimpliContract,Technology,Seed,"SimpliContract is an Enterprise SaaS offering, focused on end to end Contract Life-cycle Management.",2021,Bangalore,1800000.0
Dropshop,Logistics,Series,Building technology to make distribution efficient and cheaper for large and small FMCG companies,2021,Bangalore,1000000.0
Jumbotail,E-commerce,Dept,Jumbotail is an operator of an online marketplace that simplifies food and grocery shopping.,2021,Bangalore,4000000.0
BYJU'S,Technology,Undisclosed,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2021,Bangalore,350000000.0
Power Gummies,Nutrition,Undisclosed,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,2021,Delhi,1000000.0
Convosight,Internet Services,Series,A mission - to help community builders become community entrepreneurs.,2021,Delhi,9000000.0
Junio,Technology,Seed,Junio is a kids-focused digital pocket money-smart card.,2021,Delhi,600000.0
Wherehouse.io,Logistics,Seed,"Wherehouse.io is a supply chain intelligence company, helping brands to move closer to their customers enabling faster and better deliveries and accelerating business growth.",2021,Delhi,
Flexmoney,Technology,Series,"Flexmoney’s mission is to address the enormous digital credit market opportunity created by the disruption from e-commerce, EMI and BNPL checkout finance",2021,Mumbai,4800000.0
Fampay,Technology,Series,India's first numberless card and UPI without a bank account,2021,Bangalore,38000000.0
Apna,Human Resources,Series,India's Professional App - Apna is dedicated to solving the problem of unemployment at the grassroot level,2021,Bangalore,70000000.0
XYXX Apparels,Fashion,Series,"XYXX Apparels,which runs an eponymous innerwear brand",2021,Surat,4000000.0
WaterScience,D2C startup,Undisclosed,The aim of making good water affordable and accessible.,2021,Bangalore,
BrowserStack,Internet Services,Series,BrowserStack is a leading software testing platform powering over two million tests every day across 15 global data centres.,2021,Mumbai,200000000.0
Vital,Insuretech,Series,"An affordable, digital health plan built around to cover both big and small expenses",2021,Delhi,3000000.0
Juicy chemistry,Health Care,Undisclosed,Juicy Chemistry operates as an eponymous consumer brand.,2021,Coimbatore,
Samaaro,Internet Services,Undisclosed,"Samaaro is a virtual event platform designed to help organizations host scalable, secure, and effective virtual events for a global audience",2021,Bangalore,125000.0
Imagimake,Innovation management,Series,An innovative play system to help children create their imagination,2021,Mumbai,500000.0
MSMEx,Technology,Series,MSMEx connects micro and small Business Owners with curated Business Experts over live video.,2021,Andheri,1000000.0
RenewBuy,Insuretech,Series,Simplest way to renew car insurance. Get quote and insure car in couple of minutes,2021,Gurugram,45000000.0
saarthi.ai,Artificial intelligence,Seed,Multilingual Conversational Enterprise AI Platform for omnichannel automation of customer journeys in the user's native language.,2021,Bangalore,
Kutumb,Community platform,Series,Kutumb is a social community enabler.,2021,Bangalore,26000000.0
Superplum,Technology,Series,Building India's most sophisticated platform for high quality fresh food,2021,Noida,3800000.0
Upside AI,Technology,Seed,Upside AI on the thesis that technology will make better investing decisions than humans over the long term.,2021,Mumbai,1200000.0
PazCare,Insuretech,Undisclosed,Paz Care is India's leading Employee Benefits & Health insurance platform,2021,Bangalore,
Answer Genomics,Health Care,Undisclosed,A healthcare company that uses genome-based data to help individuals make decisions.,2021,Bangalore,
Skillmatics,Technology,Series,Skillmatics develops learning games for pre-school and primary school kids aged under 10,2021,Mumbai,6000000.0
Bimaplan,Insuretech,Series,Affordable insurance for the next billion Indians,2021,Bangalore,2500000.0
Bueno Finance,Technology,Seed,"Bueno Gig Growth Technologies Pvt Ltd (""Bueno Finance"") is a financial services platform which aims is to help improve the financial health of customers.",2021,Gurugram,3000000.0
CityMall,E-commerce,Series,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,2021,Gurugram,22000000.0
BYJU’S,Technology,Undisclosed,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2021,Bangalore,50000000.0
India Quotient,Venture capitalist,Undisclosed,India Quotient is a new type of early stage investor. We fund companies building disruptive businesses aimed at Indian consumers. We're,2021,Mumbai,64000000.0
The Switch Fix,Health Care,Seed,The Switch Fix is a plant-based clean and conscious personal care brand for young urbans.,2021,Gurugram,
Anvidha Technologies,Technology,Seed,Anvidha Technologies Private Limited is a HARYANA based private ltd.,2021,Dhingsara,1500000.0
DigiSparsh,Technology,Seed,DigiSparsh is India's first and only healthcare fintech platform which aims to make healthcare facilities accessible to everyone in the country.,2021,Mumbai,
CoffeeMug.ai,Networking,Seed,"A video first global platform of senior professionals, connecting 1:1, virtually or over coffee, building a powerful, long-lasting relationship.",2021,Delhi,620000.0
Pathfndr.io,Internet Services,Series,Intelligent Travel Tech Stack making sense of the world's information by scanning billions of data points and ranking destinations,2021,Bangalore,
BigLeap,Recruitment,Undisclosed,BigLeap Technologies & Solutions is focused on providing viable offshore consultancy services for enterprises looking to grow their business.,2021,Hyderabad,600000.0
Kazam,EV startup,Seed,"Kazam provides end to end Electric Vehicle charging solutions for Office Spaces, Apartments, Restaurants, Shops",2021,Bangalore,900000.0
MYRE Capital,Commercial Real Estate,Angel,Democratising Real Estate Ownership,2021,Mumbai,
BimaPe,Technology,Seed,BimaPe demystifies Insurance and its Management for individuals and families across India. 'BimaPe Bharosa Karo',2021,Mumbai,500000.0
MicroDegree,Technology,Undisclosed,MicroDegree is an ed-tech platform working towards democratising technology and job ready skills for Bharat.,2021,Mangalore,
Saarthi Pedagogy,Technology,Angel,"India's fastest growing Pedagogy company, serving to school as an academic growth partner and provide 360° solutions to schools on Academic Strategies",2021,Ahmedabad,
Synapsica,Health Care,Series,Artificial Intelligence tools to make quality diagnostic assessment available for all.,2021,Delhi,4000000.0
Kwik Foods,Undisclosed,Seed,Kwik Foods is one of the fastest-growing D2C fresh food brands that is disrupting the food industry,2021,Gurugram,
Plutomen,AR startup,Undisclosed,Plutomen Technologies Pvt Ltd founded in Nov 2016 is recognized start-up by DIPP in the field of Emerging Technology.,2021,Ahmedabad,300000.0
GoMechanic,Automotive,Series,"GoMechanic is India’s leading multi-brand car service company, committed to making the car servicing experience hassle-free & easy for everyone.",2021,Gurugram,42000000.0
Grinntech,Automotive,Undisclosed,"Grinntech is an investor backed, growth phase start-up, leading on all front of battery design for EV applications.",2021,Chennai,2000000.0
Nobel Hygiene,Health Care,Undisclosed,"Nobel Hygiene is one of the leading disposable hygiene care products manufacturer in the country with an ISO 9001:2015 and CE certification, headquartered in Mumbai.",2021,Mumbai,60000000.0
Green Cure,Health Care,Series,World's first company to combine German Engineering with Indian Ayurveda in health products,2021,Delhi,
Classplus,Technology,Series,Classplus was born out of an urge to redefine classroom engagement in this country.,2021,Noida,65000000.0
WINDO,E-commerce,Seed,Convert Instagram Page Into an Online Store in under 2-minutes. Create a free online store and automate your sales.,2021,Hyderabad,500000.0
ApnaKlub,E-commerce,Series,Supporting independent businesses and retail entrepreneurs with better than market wholesale prices and supply chain.,2021,Bangalore,
LegalPay,Technology,Undisclosed,A tech focused B2B litigation finance company in India.,2021,Delhi,
Lavado,Consumer service,Undisclosed,A startup that is trying to permanently change the way people approach the cleaning and maintenance of their apparel and accessories.,2021,Mumbai,
Navars,Technology,Undisclosed,"Navars Edutech comprises dynamic mix of intellectual professionals, managerial team, Subject matter experts and Astronomy and Space researchers.",2021,Hyderabad,
GoBolt,Logistics,Series,"GoBOLT is a tech-logistics company operating in Line Haul & Short Haul Trucking, creating value through dis-intermediation, increased asset utilization and extensive use of technology.",2021,Gurugram,20000000.0
Loco,Gaming,Seed,Loco is India's leading live game streaming app.,2021,Bangalore,9000000.0
Auric,Health Care,Series,Contemporary Beauty & Wellness Brand Based on Ayurveda,2021,Delhi,2000000.0
Edmingle,Technology,Undisclosed,Edmingle is a platform for all educators who want to launch their courses and sell them online.,2021,Bangalore,300000.0
Slice,Technology,Undisclosed,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards.",2021,Bangalore,20000000.0
Humit,Music,Seed,Humit is a social networking app for music sharing and discovery.,2021,Bangalore,
Airblack,IT startup,Series,Airblack is on a mission to help people convert their passion to a livelihood.,2021,Gurugram,5200000.0
NIRAMAI,Health Care,Undisclosed,"NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix, i.e. machine intelligence over thermography images.",2021,Bangalore,
Intervue,Internet Services,Seed,World's fastest collaborative environment to take tech interviews.,2021,Delhi,
Nestroots,Fashion,Seed,"Ottoman, Stool, Brass Kitchen Solutions, Masala Box, Roti Box, Bar Accessories and Many Gifting Options at Nestroots.",2021,Gurugram,100000.0
Detect Technologies,Automation,Undisclosed,Detect Technologies is a leading Industrial AI company that is building innovative solutions and cutting-edge technology for the industrial ecosystem.,2021,Chennai,12000000.0
CredR,Automotive,Undisclosed,CredR is India’s Most Trusted Used Two-Wheeler Consumer Brand that leverages Technology & Processes to simplify the Used Two-wheeler Market.,2021,Bangalore,6500000.0
Fourth Partner Energy,Solar,Undisclosed,"Fourth Partner Energy is India’s leading distributed solar energy firm focusing on building and financing solar projects across the private and public sectors for commercial, industrial and institutional entities.",2021,Hyderabad,125000000.0
TABLT,Health Care,Series,TABLT [Previously Sabse Sasta Dukaan] is one of India's most trusted online pharmacy dealing in medicines and other healthcare products.,2021,Kolkata,3000000.0
Hesa,IT startup,Seed,HESA is connecting Bharat with India and India with Bharat Phygitally. We are bridging the gap for the world’s largest customer base that resides in rural India.,2021,Hyderabad,2000000.0
Powerhouse91,Consumer goods,Seed,"A tech-driven company that acquires, operates, and scales outstanding ecommerce brands in India.",2021,Gurugram,
Nalanda Learning,Technology,Undisclosed,India's 1st Online Preschool with Blended Learning Model,2021,Kolkata,5000000.0
Chargeup,Renewable Energy,Series,"""Battery as a Service"" for 3 wheeler & 2 wheelers",2021,Delhi,
Knackit,IT startup,Undisclosed,Knackit is a talent sharing platform where users can showcase and monetize their artistry.,2021,Bangalore,100000.0
Treebo Hotels,Hospitality,Series,Treebo Hotels is India's most loved hotel chain in the premium-budget segment.,2021,Bangalore,16000000.0
Raptee Energy,Automotive,Undisclosed,Raptee Energy Inc. is looking to accelerate the transition to smart and sustainable mobility!,2021,Chennai,700000.0
Meddo,Health Care,Undisclosed,Meddo (Arctern Healthcare) are re-defining how primary and secondary healthcare is provided in India through a connected care delivery platform.,2021,Gurugram,6000000.0
Supertails,Pet care,Series,Supertails is building a digital pet care platform which offers expert led healthcare services and products.,2021,Bangalore,2600000.0
SkilloVilla,Technology,Seed,Mission to support young graduates in enhancing their learnings and transform them into big earnings.,2021,Bangalore,
Cancer Clinics,Health Care,Series,"Cancer Helpline is a source of information and support, helping with all the things that people affected by cancer want and need.",2021,Telugana,
Velocity,Technology,Seed,Velocity provides revenue-based-financing to online businesses. It aims to build the future of banking and financial services for new age businesses in India.,2021,Bangalore,
Happy Jars,Undisclosed,Seed,"Manufacture and retail a delicious range of all-natural nut butters, made without oil, sugar or preservatives.",2021,Delhi,
Inshorts,Media,Undisclosed,Inshorts is a news aggregator application that collects and summarizes news based on user behavior and preferences.,2021,Noida,
ExtraaEdge,Technology,Series,Data Science powered - Admission & Marketing CRM Automation for Education Enrolments,2021,Pune,
Zotalabs,Technology,Seed,Zotalabs gives the power of Emerging Technology to your digital automation with our easy to use APIs.,2021,Pune,
Voiro,Advertisement,Series,Voiro is the first all-in-one revenue management suite exclusively for ad-led digital publishers across media.,2021,Bangalore,
